"state","stateName","question","questionLabel","citation","sourceUrl","readAt","readAtName","verified","attested","page"
"AK","Alaska","what-can-a-med-spa-advertise","Advertising limits","AS 08.64.326(a)(3) (Grounds for discipline — advertising)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.326&secEnd=08.64.326","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/what-can-a-med-spa-advertise"
"AK","Alaska","what-can-a-practitioner-be-disciplined-for","Grounds for discipline","AS 08.64.326(a)(2) (Deceit or misrepresentation in practice)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.326&secEnd=08.64.326","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/what-can-a-practitioner-be-disciplined-for"
"AK","Alaska","what-does-it-cost-to-open","License fees","12 AAC 02.140(a)(1)(A) (what it costs to open — the nonrefundable application fee)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.02.010&secEnd=12.02.900","","","2026-09-06","true","https://medsparadar.com/states/alaska/q/what-does-it-cost-to-open"
"AK","Alaska","what-happens-if-you-practice-without-a-license","Unlicensed practice","AS 08.64.360 (Penalty for practicing without a license)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.360&secEnd=08.64.360","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/what-happens-if-you-practice-without-a-license"
"AK","Alaska","what-must-be-reported-to-the-board","Reporting duties","AS 08.64.345 (Reports relating to malpractice actions and claims)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.010&secEnd=08.64.380","","","2026-09-08","true","https://medsparadar.com/states/alaska/q/what-must-be-reported-to-the-board"
"AK","Alaska","what-must-the-supervising-physician-do","Supervising physician duties","12 AAC 40.920(a)(7) (Written instructions for a delegated duty)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.40.920&secEnd=12.40.920","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/what-must-the-supervising-physician-do"
"AK","Alaska","who-enforces-deceptive-med-spa-marketing","Marketing enforcement","AS 45.50.501(a) (The attorney general enforces by injunction)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=45.50.501&secEnd=45.50.501","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/who-enforces-deceptive-med-spa-marketing"
"AK","Alaska","who-may-operate-a-cosmetic-laser","Laser & energy devices","12 AAC 09.990(b)(1)(D) (Definitions — no Class III or IV laser)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.09.010&secEnd=12.09.990","","","2026-09-07","true","https://medsparadar.com/states/alaska/q/who-may-operate-a-cosmetic-laser"
"AK","Alaska","who-may-perform-the-pre-treatment-exam","Who performs the exam","12 AAC 40.920(f) (duties that may not be delegated)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.40.920&secEnd=12.40.920","","","2026-09-08","true","https://medsparadar.com/states/alaska/q/who-may-perform-the-pre-treatment-exam"
"AZ","Arizona","can-a-med-spa-offer-compounded-glp-1","Compounded GLP-1","Ariz. Rev. Stat. § 32-1901 (“compounding”)","https://www.azleg.gov/ars/32/01901.htm","","","2026-09-02","true","https://medsparadar.com/states/arizona/q/can-a-med-spa-offer-compounded-glp-1"
"AZ","Arizona","can-a-medical-assistant-inject","Medical assistants","A.R.S. §32-1401","https://www.azleg.gov/ars/32/01401.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/can-a-medical-assistant-inject"
"AZ","Arizona","can-a-non-clinical-owner-take-a-percentage","Fees to a non-clinical owner","Ariz. Rev. Stat. § 32-1401(27)(v)","https://www.azleg.gov/ars/32/01401.htm","","","2026-09-02","true","https://medsparadar.com/states/arizona/q/can-a-non-clinical-owner-take-a-percentage"
"AZ","Arizona","can-a-non-physician-own-a-med-spa","Non-physician ownership","Ariz. Rev. Stat. § 32-1401(27)(v)","https://www.azleg.gov/ars/32/01401.htm","","","2026-09-02","true","https://medsparadar.com/states/arizona/q/can-a-non-physician-own-a-med-spa"
"AZ","Arizona","can-a-nurse-practitioner-work-without-a-physician","NP independence","A.R.S. §32-1601(23)","https://www.azleg.gov/ars/32/01601.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/can-a-nurse-practitioner-work-without-a-physician"
"AZ","Arizona","can-a-physician-assistant-inject-or-prescribe","Physician assistants","A.R.S. §32-1401(8)","https://www.azleg.gov/ars/32/01401.htm","","","2026-09-01","true","https://medsparadar.com/states/arizona/q/can-a-physician-assistant-inject-or-prescribe"
"AZ","Arizona","can-an-rn-inject-botox-or-filler","RN injecting","A.R.S. §32-1601(24)","https://www.azleg.gov/ars/32/01601.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/can-an-rn-inject-botox-or-filler"
"AZ","Arizona","can-the-exam-be-done-by-telehealth","Telehealth exams","A.R.S. §36-3602","https://www.azleg.gov/ars/36/03602.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/can-the-exam-be-done-by-telehealth"
"AZ","Arizona","can-the-state-shut-down-an-unlicensed-med-spa","Shutdown powers","A.R.S. §32-1454","https://www.azleg.gov/ars/32/01454.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/can-the-state-shut-down-an-unlicensed-med-spa"
"AZ","Arizona","does-a-med-spa-need-to-register","Registration & licensing","Ariz. Rev. Stat. § 32-1901 (“compounding”)","https://www.azleg.gov/ars/32/01901.htm","","","2026-09-02","true","https://medsparadar.com/states/arizona/q/does-a-med-spa-need-to-register"
"AZ","Arizona","is-a-medical-director-required","Medical director required?","A.R.S. §32-1401","https://www.azleg.gov/ars/32/01401.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/is-a-medical-director-required"
"AZ","Arizona","is-an-exam-required-before-treatment","Exam before treatment","A.R.S. §32-1401(27)","https://www.azleg.gov/ars/32/01401.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/is-an-exam-required-before-treatment"
"AZ","Arizona","may-an-esthetician-perform-microneedling","Esthetician microneedling","Ariz. Rev. Stat. § 32-501(2)","https://www.azleg.gov/ars/32/00501.htm","","","2026-09-02","true","https://medsparadar.com/states/arizona/q/may-an-esthetician-perform-microneedling"
"AZ","Arizona","what-business-structure-is-required","Structure limits","A.R.S. §10-2220(A)(4)","https://www.azleg.gov/ars/10/02220.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/what-business-structure-is-required"
"AZ","Arizona","what-can-a-med-spa-advertise","Advertising limits","A.R.S. §32-1401(27)","https://www.azleg.gov/ars/32/01401.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/what-can-a-med-spa-advertise"
"AZ","Arizona","what-can-a-practitioner-be-disciplined-for","Grounds for discipline","A.R.S. §32-1451","https://www.azleg.gov/ars/32/01451.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/what-can-a-practitioner-be-disciplined-for"
"AZ","Arizona","what-does-it-cost-to-open","License fees","Ariz. Rev. Stat. § 32-507(A)(1), (3), (6), (8), (9)","https://www.azleg.gov/ars/32/00507.htm","","","2026-09-02","true","https://medsparadar.com/states/arizona/q/what-does-it-cost-to-open"
"AZ","Arizona","what-happens-if-you-practice-without-a-license","Unlicensed practice","A.R.S. §32-1455(A)(1)","https://www.azleg.gov/ars/32/01455.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/what-happens-if-you-practice-without-a-license"
"AZ","Arizona","what-must-be-reported-to-the-board","Reporting duties","Ariz. Rev. Stat. § 32-1451(A) (Grounds for disciplinary action; duty to report)","https://www.azleg.gov/ars/32/01451.htm","","","2026-09-08","true","https://medsparadar.com/states/arizona/q/what-must-be-reported-to-the-board"
"AZ","Arizona","what-must-the-supervising-physician-do","Supervising physician duties","A.R.S. §32-1456(A) and (D)","https://www.azleg.gov/ars/32/01456.htm","","","2026-09-01","true","https://medsparadar.com/states/arizona/q/what-must-the-supervising-physician-do"
"AZ","Arizona","who-enforces-deceptive-med-spa-marketing","Marketing enforcement","A.R.S. §44-1522","https://www.azleg.gov/ars/44/01522.htm","","","2026-07-26","true","https://medsparadar.com/states/arizona/q/who-enforces-deceptive-med-spa-marketing"
"AZ","Arizona","who-may-operate-a-cosmetic-laser","Laser & energy devices","Ariz. Rev. Stat. § 32-516(A)–(B)","https://www.azleg.gov/ars/32/00516.htm","","","2026-09-08","true","https://medsparadar.com/states/arizona/q/who-may-operate-a-cosmetic-laser"
"AR","Arkansas","can-a-med-spa-offer-compounded-glp-1","Compounded GLP-1","17 CAR § 160-2201(b)(1)-(2) (Standards for compounding and dispensing compounded products — copies of commercially available drugs)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=174&subChapterID=217&partID=770&subPartID=5563&sectionID=36139","","","2026-09-07","true","https://medsparadar.com/states/arkansas/q/can-a-med-spa-offer-compounded-glp-1"
"AR","Arkansas","can-a-medical-assistant-inject","Medical assistants","17 CAR § 140-2506(1)-(3) (Physician delegation — prohibitions)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5604&sectionID=36330","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/can-a-medical-assistant-inject"
"AR","Arkansas","can-a-non-physician-own-a-med-spa","Non-physician ownership","17 CAR § 140-2601(3) (Ethical violations for physicians)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5605&sectionID=36331","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/can-a-non-physician-own-a-med-spa"
"AR","Arkansas","can-a-nurse-practitioner-work-without-a-physician","NP independence","17 CAR § 123-702 (Full practice authority — certified nurse practitioner or clinical nurse specialist)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=85&subChapterID=110&partID=1158&subPartID=6330&sectionID=41324","","","2026-09-08","true","https://medsparadar.com/states/arkansas/q/can-a-nurse-practitioner-work-without-a-physician"
"AR","Arkansas","can-a-physician-assistant-inject-or-prescribe","Physician assistants","17 CAR § 140-1806 (Availability of supervising physician)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5597&sectionID=36302","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/can-a-physician-assistant-inject-or-prescribe"
"AR","Arkansas","can-an-rn-inject-botox-or-filler","RN injecting","17 CAR § 140-1806 (Availability of supervising physician)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5597&sectionID=36302","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/can-an-rn-inject-botox-or-filler"
"AR","Arkansas","can-the-exam-be-done-by-telehealth","Telehealth exams","17 CAR § 140-3201(a) (Telemedicine — patient/provider relationship)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5611&sectionID=36366","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/can-the-exam-be-done-by-telehealth"
"AR","Arkansas","can-the-state-shut-down-an-unlicensed-med-spa","Shutdown powers","17 CAR § 140-1701(b) (Reporting generally — consequence)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5596&sectionID=36296","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/can-the-state-shut-down-an-unlicensed-med-spa"
"AR","Arkansas","does-a-med-spa-need-to-register","Registration & licensing","17 CAR § 140-2904(a)-(c) (Office-based surgery)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5608&sectionID=36339","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/does-a-med-spa-need-to-register"
"AR","Arkansas","is-a-medical-director-required","Medical director required?","17 CAR § 140-1601(b)(2) (Laser surgery guidelines — protocol)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5595&sectionID=36295","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/is-a-medical-director-required"
"AR","Arkansas","is-an-exam-required-before-treatment","Exam before treatment","17 CAR § 140-3201(a) (Telemedicine — patient/provider relationship)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5611&sectionID=36366","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/is-an-exam-required-before-treatment"
"AR","Arkansas","may-an-esthetician-perform-microneedling","Esthetician microneedling","Ark. Dep't of Health, Cosmetology Section, Cosmetology FAQs (""Can cosmetologists or aestheticians perform Microneedling services?"")","https://healthy.arkansas.gov/programs-services/licensing-military-member-licensure-permits-plan-reviews/cosmetology/cosmetology-faqs/","","","2026-09-20","true","https://medsparadar.com/states/arkansas/q/may-an-esthetician-perform-microneedling"
"AR","Arkansas","must-someone-be-on-site-during-treatment","On-site presence","17 CAR § 140-2904(d) (Office-based surgery — anesthesia)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5608&sectionID=36339","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/must-someone-be-on-site-during-treatment"
"AR","Arkansas","what-business-structure-is-required","Structure limits","Ark. Code Ann. § 4-29-307 (Medical Corporation Act — officers, directors, and shareholders)","https://www.armedicalboard.org/professionals/pdf/mpa.pdf","","","2026-09-08","true","https://medsparadar.com/states/arkansas/q/what-business-structure-is-required"
"AR","Arkansas","what-can-a-med-spa-advertise","Advertising limits","17 CAR § 140-2601(5) (Ethical violations for physicians)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=173&subChapterID=216&partID=1045&subPartID=5605&sectionID=36331","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/what-can-a-med-spa-advertise"
"AR","Arkansas","what-can-a-practitioner-be-disciplined-for","Grounds for discipline","Ark. Code Ann. § 17-95-409(a)(1)–(2)(C)","https://www.armedicalboard.org/professionals/pdf/mpa.pdf","","","2026-09-08","true","https://medsparadar.com/states/arkansas/q/what-can-a-practitioner-be-disciplined-for"
"AR","Arkansas","what-does-it-cost-to-open","License fees","17 CAR § 54-401(b) (Fees for cosmetology)","https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=17&chapterID=93&subChapterID=118&partID=1234&subPartID=7483&sectionID=48768","","","2026-09-07","true","https://medsparadar.com/states/arkansas/q/what-does-it-cost-to-open"
"AR","Arkansas","what-happens-if-you-practice-without-a-license","Unlicensed practice","Ark. Code Ann. § 17-95-409(a)(2)(C) (Unprofessional conduct — grounds for revocation or suspension)","https://www.armedicalboard.org/professionals/pdf/mpa.pdf","","","2026-09-04","true","https://medsparadar.com/states/arkansas/q/what-happens-if-you-practice-without-a-license"
"AR","Arkansas","what-must-be-reported-to-the-board","Reporting duties","Ark. Code Ann. § 17-80-117(a)-(c) (Substance Abuse Reporting Act)","https://www.armedicalboard.org/professionals/pdf/mpa.pdf","","","2026-09-08","true","https://medsparadar.com/states/arkansas/q/what-must-be-reported-to-the-board"
